key,alias,moment,subject,text,score,recommended
review-36,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",0.00,TRUE
review-37,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",0.01,TRUE
review-38,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",5.00,TRUE
review-39,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",9.99,TRUE
review-40,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",10.00,TRUE
review-42,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",,TRUE
# score - no singular values
# recommended - standard variations
review-43,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",5.00,TRUE
review-44,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",5.00,FALSE
review-45,user00,2021/09/01 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing",5.00,
# recommended - no singular values
