key,name,iataCode,operationalScope,city,country,website,email,phoneNumber
airport-26,"Lorem ipsum dolor sit ame","WMH","INTERNATIONAL","<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-27,"Lorem ipsum dolor sit ame","YRD","INTERNATIONAL","' or 'A' = 'A ","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
# country - standard variations
airport-28,"Lorem ipsum dolor sit ame","ZPN","INTERNATIONAL","Lorem ipsum dolor sit ame","L","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-29,"Lorem ipsum dolor sit ame","GJE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lo","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-30,"Lorem ipsum dolor sit ame","OGT","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscin","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-31,"Lorem ipsum dolor sit ame","WBV","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-32,"Lorem ipsum dolor sit ame","ICB","INTERNATIONAL","Lorem ipsum dolor sit ame","โลเร็ม อิปซัม","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-33,"Lorem ipsum dolor sit ame","NCT","INTERNATIONAL","Lorem ipsum dolor sit ame","لوريم إيبسوم","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-34,"Lorem ipsum dolor sit ame","QYL","INTERNATIONAL","Lorem ipsum dolor sit ame","洛伦·伊普森","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-35,"Lorem ipsum dolor sit ame","QYM","INTERNATIONAL","Lorem ipsum dolor sit ame","<marquee>Hacked</marquee>","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-36,"Lorem ipsum dolor sit ame","BIR","INTERNATIONAL","Lorem ipsum dolor sit ame","<script>alert(‘Hacked!’);</script>","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-37,"Lorem ipsum dolor sit ame","NIK","INTERNATIONAL","Lorem ipsum dolor sit ame","' or 'A' = 'A ","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
# website - standard variations
airport-38,"Lorem ipsum dolor sit ame","AOP","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","","acme@lorem-ipsum.org","34866785814"
airport-39,"Lorem ipsum dolor sit ame","CSQ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://b.aa","acme@lorem-ipsum.org","34866785814"
airport-40,"Lorem ipsum dolor sit ame","HFI","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://a.b","acme@lorem-ipsum.org","34866785814"
airport-41,"Lorem ipsum dolor sit ame","PIG","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/","acme@lorem-ipsum.org","34866785814"
airport-42,"Lorem ipsum dolor sit ame","NLL","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X","acme@lorem-ipsum.org","34866785814"
airport-43,"Lorem ipsum dolor sit ame","XST","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem-ipsum.org","acme@lorem-ipsum.org","34866785814"
airport-44,"Lorem ipsum dolor sit ame","OLP","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","https://www.lorem-ipsum.org","acme@lorem-ipsum.org","34866785814"
airport-45,"Lorem ipsum dolor sit ame","EJN","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem-ipsum.org/dolor/sit.html","acme@lorem-ipsum.org","34866785814"
airport-46,"Lorem ipsum dolor sit ame","QIV","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem-ipsum.org/dolor/sit.html#dolor","acme@lorem-ipsum.org","34866785814"
airport-47,"Lorem ipsum dolor sit ame","SPA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?a=1&b=2","acme@lorem-ipsum.org","34866785814"
airport-48,"Lorem ipsum dolor sit ame","GOR","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?","acme@lorem-ipsum.org","34866785814"
airport-49,"Lorem ipsum dolor sit ame","RXE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?a","acme@lorem-ipsum.org","34866785814"
airport-50,"Lorem ipsum dolor sit ame","ZCW","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?a&b","acme@lorem-ipsum.org","34866785814"
airport-51,"Lorem ipsum dolor sit ame","IJJ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/","acme@lorem-ipsum.org","34866785814"
airport-52,"Lorem ipsum dolor sit ame","GZD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a","acme@lorem-ipsum.org","34866785814"
airport-53,"Lorem ipsum dolor sit ame","JKM","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a/b","acme@lorem-ipsum.org","34866785814"
airport-55,"Lorem ipsum dolor sit ame","CBE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a/b?","acme@lorem-ipsum.org","34866785814"
airport-56,"Lorem ipsum dolor sit ame","OBG","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a/b?a&b","acme@lorem-ipsum.org","34866785814"
# email - standard variations
airport-57,"Lorem ipsum dolor sit ame","XFT","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","","34866785814"
airport-58,"Lorem ipsum dolor sit ame","HCO","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","a@b.e","34866785814"
airport-59,"Lorem ipsum dolor sit ame","RQT","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","a@b.es","34866785814"
airport-60,"Lorem ipsum dolor sit ame","YYT","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","a@b.esx","34866785814"
airport-61,"Lorem ipsum dolor sit ame","FQJ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu","34866785814"
airport-62,"Lorem ipsum dolor sit ame","NKX","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","34866785814"
# phoneNumber
airport-63,"Lorem ipsum dolor sit ame","EKT","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","000000"
airport-64,"Lorem ipsum dolor sit ame","SFU","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","000001"
airport-65,"Lorem ipsum dolor sit ame","ETM","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","640544"
airport-66,"Lorem ipsum dolor sit ame","KRX","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","7213448"
airport-67,"Lorem ipsum dolor sit ame","KUT","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","01000186"
airport-68,"Lorem ipsum dolor sit ame","NHL","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","312939135"
airport-69,"Lorem ipsum dolor sit ame","UWA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","2108686142"
airport-70,"Lorem ipsum dolor sit ame","KVJ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","47283519949"
airport-71,"Lorem ipsum dolor sit ame","HJW","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","472835199497"
airport-72,"Lorem ipsum dolor sit ame","WEB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","4728351994931"
airport-73,"Lorem ipsum dolor sit ame","VME","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","47283519949477"
airport-74,"Lorem ipsum dolor sit ame","IPC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","140389609597478"
airport-75,"Lorem ipsum dolor sit ame","MNI","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","999999999999998"
airport-76,"Lorem ipsum dolor sit ame","HVW","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","999999999999999"
airport-77,"Lorem ipsum dolor sit ame","GGP","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","+44539394964887"
